value,variable
370.546,enhanced
371.094,enhanced
371.598,enhanced
373.729,enhanced
373.842,enhanced
374.86,enhanced
376.487,enhanced
376.519,enhanced
378.01,enhanced
379.443,enhanced
382.286,enhanced
383.54,enhanced
384.744,enhanced
385.158,enhanced
385.368,enhanced
385.696,enhanced
387.292,enhanced
387.995,enhanced
388.255,enhanced
388.264,enhanced
388.979,enhanced
389.745,enhanced
390.458,enhanced
390.525,enhanced
394.278,enhanced
394.651,enhanced
394.719,enhanced
395.783,enhanced
397.903,enhanced
398.587,enhanced
403.204,enhanced
403.617,enhanced
404.456,enhanced
405.083,enhanced
405.358,enhanced
406.353,enhanced
408.154,enhanced
408.182,enhanced
408.273,enhanced
408.976,enhanced
409.133,enhanced
409.502,enhanced
411.027,enhanced
411.76,enhanced
412.871,enhanced
414.067,enhanced
415.03,enhanced
415.628,enhanced
416.952,enhanced
417.413,enhanced
417.53,enhanced
418.448,enhanced
420.111,enhanced
421.458,enhanced
422.05,enhanced
422.307,enhanced
422.998,enhanced
423.754,enhanced
423.94,enhanced
425.279,enhanced
425.524,enhanced
426.014,enhanced
426.72,enhanced
426.834,enhanced
427.186,enhanced
428.267,enhanced
431.941,enhanced
432.872,enhanced
433.61,enhanced
434.3,enhanced
434.84,enhanced
436.317,enhanced
437.704,enhanced
439.696,enhanced
439.867,enhanced
440.837,enhanced
441.278,enhanced
443.389,enhanced
444.187,enhanced
444.764,enhanced
445.034,enhanced
446.536,enhanced
447.666,enhanced
448.656,enhanced
449.622,enhanced
449.864,enhanced
449.955,enhanced
451.841,enhanced
451.871,enhanced
452.84,enhanced
453.14,enhanced
454.088,enhanced
455.376,enhanced
455.807,enhanced
455.942,enhanced
458.035,enhanced
462.649,enhanced
464.067,enhanced
465.271,enhanced
465.88,enhanced
466.002,enhanced
467.132,enhanced
468.079,enhanced
469.361,enhanced
469.441,enhanced
469.731,enhanced
470.396,enhanced
471.004,enhanced
471.528,enhanced
471.728,enhanced
472.164,enhanced
472.178,enhanced
472.281,enhanced
474.706,enhanced
474.822,enhanced
479.198,enhanced
479.286,enhanced
480.038,enhanced
480.476,enhanced
481.236,enhanced
481.268,enhanced
482.635,enhanced
483.222,enhanced
484.683,enhanced
485.531,enhanced
486.215,enhanced
487.618,enhanced
489.943,enhanced
493.128,enhanced
497.155,enhanced
498.548,enhanced
498.968,enhanced
500.607,enhanced
500.722,enhanced
501.463,enhanced
502.025,enhanced
504.442,enhanced
505.463,enhanced
505.753,enhanced
506.851,enhanced
508.131,enhanced
509.822,enhanced
509.829,enhanced
512.124,enhanced
512.216,enhanced
512.813,enhanced
515.659,enhanced
515.892,enhanced
515.964,enhanced
516.235,enhanced
518.8,enhanced
519.687,enhanced
519.965,enhanced
521.795,enhanced
522.372,enhanced
522.473,enhanced
522.505,enhanced
525.197,enhanced
525.811,enhanced
525.849,enhanced
527.036,enhanced
527.185,enhanced
527.432,enhanced
527.548,enhanced
528.238,enhanced
528.542,enhanced
529.977,enhanced
530.22,enhanced
530.499,enhanced
532.215,enhanced
532.693,enhanced
536.793,enhanced
537.534,enhanced
537.737,enhanced
538.695,enhanced
539.588,enhanced
541.116,enhanced
542.372,enhanced
543.385,enhanced
543.628,enhanced
544.76,enhanced
544.912,enhanced
546.068,enhanced
547.606,enhanced
547.692,enhanced
548.582,enhanced
549.037,enhanced
550.945,enhanced
554.624,enhanced
555.671,enhanced
555.841,enhanced
556.994,enhanced
557.876,enhanced
558.045,enhanced
559.901,enhanced
561.09,enhanced
561.279,enhanced
564.406,enhanced
565.725,enhanced
565.89,enhanced
566.181,enhanced
566.771,enhanced
567.312,enhanced
569.141,enhanced
569.637,enhanced
571.7,enhanced
572.054,enhanced
573.191,enhanced
574.328,enhanced
575.025,enhanced
577.498,enhanced
580.093,enhanced
580.734,enhanced
581.112,enhanced
581.453,enhanced
582.807,enhanced
582.885,enhanced
583.172,enhanced
584.517,enhanced
585.675,enhanced
592.076,enhanced
593.244,enhanced
594.036,enhanced
594.368,enhanced
595.532,enhanced
599.353,enhanced
600.181,enhanced
601.521,enhanced
609.002,enhanced
609.067,enhanced
610.004,enhanced
610.747,enhanced
612.692,enhanced
613.931,enhanced
614.249,enhanced
617.428,enhanced
618.53,enhanced
620.963,enhanced
625.811,enhanced
626.216,enhanced
627.142,enhanced
629.291,enhanced
